音檔,來源,漢字,羅馬字,長短
ImTong/SuiSiann_0001.wav,bô_kóng-liáu無講了,彼號……,Hit-lō...,0.92
ImTong/SuiSiann_0002.wav,bô_kóng-liáu無講了,彼號嘿……,Hit-lō--heh...,0.92
ImTong/SuiSiann_0003.wav,bô_kóng-liáu無講了,我講……,Guá kóng...,1.07
ImTong/SuiSiann_0004.wav,bô_kóng-liáu無講了,哭……你到底是拜幾欲來？,Khàu...Lí tàu-té sī pài-kuí beh lâi?,2.84
ImTong/SuiSiann_0005.wav,bô_kóng-liáu無講了,姦……你是咧講啥潲？,Kàn... Lí sī leh kóng siánn-siâu?,2.24
ImTong/SuiSiann_0006.wav,bô_kóng-liáu無講了,無你是咧哭爸啥啦？,Bô lí sī leh khàu-pē siann2--lah?,1.94
ImTong/SuiSiann_0007.wav,bô_kóng-liáu無講了,我聽你咧哭枵。,Guá thiann lí leh khàu-iau.,1.58
ImTong/SuiSiann_0008.wav,bô_kóng-liáu無講了,姦恁……雄雄出聲是咧創啥啦！,Kàn lín... Hiông-hiông tshut-siann sī leh tshòng siánn--lah!,3.38
ImTong/SuiSiann_0009.wav,bô_kóng-liáu無講了,昨暝阮囝婿煮甲歹食甲。,Tsa-mê gún kiánn-sài tsú kah pháinn-tsia̍h kah.,2.72
ImTong/SuiSiann_0010.wav,bô_kóng-liáu無講了,伊按呢講，聽一下有影氣甲。,"I án-ne kóng, thiann tsi̍t-ē ū-iánn khì kah.",2.87
ImTong/SuiSiann_0011.wav,hóo-tīng否定句,伊毋是應好伊欲參加比賽？,I m̄ sī ìn hó i beh tsham-ka pí-sài?,2.6
ImTong/SuiSiann_0012.wav,hóo-tīng否定句,伊若毋去就莫共勉強。,I nā m̄ khì tō mài kā bián-kióng.,2.39
ImTong/SuiSiann_0013.wav,hóo-tīng否定句,你攏毋認真讀冊。,Lí lóng m̄ jīn-tsin tha̍k-tsheh.,1.82
ImTong/SuiSiann_0014.wav,hóo-tīng否定句,毋好好仔拍拚趁錢，以後nài綴人會著？,"M̄ hó-hó-á phah-piànn thàn-tsînn, í-āu nài tuè lâng ē tio̍h?",4.22
ImTong/SuiSiann_0015.wav,hóo-tīng否定句,莫閣佮我囉嗦。,Mài koh kah guá lo-so.,1.52
ImTong/SuiSiann_0016.wav,hóo-tīng否定句,暫時莫佮我講話。,Tsiām-sî mài kah guá kóng-uē.,1.94
ImTong/SuiSiann_0017.wav,hóo-tīng否定句,伊行無幾步路就喝跤痠。,I kiânn bô kuí pōo lōo tō huah kha sng.,2.99
ImTong/SuiSiann_0018.wav,hóo-tīng否定句,我物件食袂了欲按怎？敢會使提去冰？,Guá mi̍h-kiānn tsia̍h bē liáu beh án-tsuánn? Kám ē-sái the̍h-khì ping?,4.34
ImTong/SuiSiann_0019.wav,hóo-tīng否定句,伊無看電視。,I bô khuànn tiān-sī.,1.61
ImTong/SuiSiann_0020.wav,hóo-tīng否定句,伊看無電視。,I khuànn bô tiān-sī.,1.61
ImTong/SuiSiann_0021.wav,hóo-tīng否定句,伊無電視看。,I bô tiān-sī khuànn.,1.58
ImTong/SuiSiann_0022.wav,hóo-tīng否定句,伊看電視無。,I khuànn tiān-sī bô.,1.52
ImTong/SuiSiann_0023.wav,hóo-tīng否定句,伊看電視無？,I khuànn tiān-sī--bô?,1.37
ImTong/SuiSiann_0024.wav,hóo-tīng否定句,阿共仔袂拍過來。,A-kiōng--á bē phah--kuè-lâi.,1.73
ImTong/SuiSiann_0025.wav,hóo-tīng否定句,阿陸仔拍袂kuài。,A-la̍k--á phah bē kuài.,1.55
ImTong/SuiSiann_0026.wav,hóo-tīng否定句,伊請我無兩擺就反悔矣。,I tshiánn guá bô nn̄g pái tō huán-hué--ah.,2.54
ImTong/SuiSiann_0027.wav,hóo-tīng否定句,這條面巾用無兩三工就有臭汗酸。,Tsit tiâu bīn-kin iōng bô nn̄g sann kang tō ū tshàu-kuānn-sng.,4.04
ImTong/SuiSiann_0028.wav,hóo-tīng否定句,舊年規家伙仔攏無佇台北。,Kū-nî kui-ke-hué-á lóng bô tī Tâi-pak.,2.69
ImTong/SuiSiann_0029.wav,hóo-tīng否定句,咱今年規家伙仔攏佇台北。,Lán kin-nî kui-ke-hué-á lóng tī Tâi-pak。,2.81
ImTong/SuiSiann_0030.wav,hóo-tīng否定句,我無想著會發生這款悲劇。,Guá bô siūnn-tio̍h ē huat-sing tsit khuán pi-kio̍k.,2.6
ImTong/SuiSiann_0031.wav,hóo-tīng否定句,我無想著講會因為著我，發生這款悲劇。,"Guá bô siūnn-tio̍h kóng ē in-uī tio̍h guá, huat-sing tsit khuán pi-kio̍k.",4.7
ImTong/SuiSiann_0032.wav,hóo-tīng否定句,因為你，害我昨暝睏無好。,"In-uī lí, hāi guá tsa-mê khùn bô hó.",2.93
ImTong/SuiSiann_0033.wav,hóo-tīng否定句,我tsa̋ng無烏白亂食。,Guá tsa̋ng bô oo-pe̍h luān tsia̍h.,1.94
