彼號嘿,hit-lō--heh
我,guá,khì,khuànn--guá
講,kóng,bē,káng
哭,khàu
你,lí,ā
到底,tàu-té
是,sī,kám,ē,tiánn,tsuân
拜幾,pài-kuí
欲,beh,nā,kám,bueh
來,lâi,koh,beh,khùn
姦,kàn
咧,leh,teh,tih,--leh,lâi
啥潲,siánn-siâu
無,bô,lóng,hó--bô,tō,bô-tsha,bû
哭爸,khàu-pē
啥啦,siann2--lah,siánn--lah
聽,thiann,hó-thiann
哭枵,khàu-iau
恁,lín
雄雄,hiông-hiông
出聲,tshut-siann
創,tshòng,tsē
昨暝,tsa-mê
阮,gún,guán,ū
囝婿,kiánn-sài
煮,tsú
甲,kah,thiàu,tòo,tsú
歹食,pháinn-tsia̍h
伊,i,kā,ī,tī,am
按呢,án-ne,án-ni,àn-ne
一下,tsi̍t-ē
有影,ū-iánn
氣,khì,khuì,ê,hí-khì
毋,m̄,khah,mā,lóng
應,ìn,ìng-iōng
好,hó,khah,kài,tsiânn,ê,hàunn
參加,tsham-ka
比賽,pí-sài
若,nā,ná,lí
去,khì,ài,hāi--khì,kià,ē
就,tō,tiō,i,tio̍h,lâng,to̍h,tsiū,sim
莫,mài,bo̍h
共,kā,tō,kín
勉強,bián-kióng
攏,lóng,i,lâng
認真,jīn-tsin
讀冊,tha̍k-tsheh
好好仔,hó-hó-á
拍拚,phah-piànn
趁錢,thàn-tsînn
以後,í-āu
nài,nài
綴,tuè
人,lâng,ū,sí-lâng,a,jîn,ê,iōng,tha̍h,hōo--lâng
會,ē,bī,khuànn,kám,huē,ná,uē,hē,tha̍k
著,tio̍h,to̍h,sī,tù
閣,koh,tsiah,beh,ū,lâng
佮,kah,kap
囉嗦,lo-so
暫時,tsiām-sî
講話,kóng-uē
行,kiânn,hâng
幾,kuí,tsit
步,pōo,pōo-sòo
路,lōo,tán-lōo
喝,huah
跤,kha,kha-pōo,ē-kha
痠,sng
物件,mi̍h-kiānn,mn̍gh-kiānn
食,tsia̍h,lí,hó-tsia̍h,khì,si̍t,sī
袂,bē,tsiah,khah,tshīng,buē,phuê
了,liáu
按怎,án-tsuánn,án-nuá,àn-tsuánn,àn-nuá
敢,kám,khòng,lí,kánn,lua̍h,kiám
會使,ē-sái,ē-siah,ē-sài,ē-saih
提去,the̍h-khì
冰,ping
看,khuànn,hó-khuànn,tsia̍h,ㄎㄢˋ
電視,tiān-sī
電視無,tiān-sī--bô
阿共仔,a-kiōng--á
拍過來,phah--kuè-lâi
阿陸仔,a-la̍k--á
拍,phah,phah-piànn
kuài,kuài
請,tshiánn
兩,nn̄g
擺,pái
反悔矣,huán-hué--ah
這,tsit,tse,i,tī,tuì
條,tiâu,liâu
面巾,bīn-kin
用,iōng,beh,īong,tuī,tio̍h,īng
三,sann,sam
工,kang,kuí
有,ū,kám,tsin,bē,iân,pîng,tsia̍h,ná
臭汗酸,tshàu-kuānn-sng
舊年,kū-nî
規家伙仔,kui-ke-hué-á
佇,tī,tshiánn,tsah,ê,ha̍p
台北,tâi-pak
咱,lán,ū
今年,kin-nî
想著,siūnn-tio̍h,siūnn--tio̍h
發生,huat-sing
款,khuán
悲劇,pi-kio̍k
因為,in-uī
害,hāi
睏,khùn
tsa̋ng,tsa̋ng
烏白,oo-pe̍h
亂,luān
peh,peh
遮,tsiah,tsia
懸,kuân
學校,ha̍k-hāu
交,kau
朋友,pîng-iú
黃先生,n̂g--sian-sinn
佇咧無,tī--leh--bô
敢講,kám-kóng
已經,í-king
愛我矣,ài--guá--ah
嘛,mā,mà
無伊法,bô-i-huat
拄才,tú-tsiah
地動,tē-tāng
偌,guā,luā
大咧,tuā--leh
緊,kín
覕,bih
桌仔跤,toh-á-kha
想,siūnn
啥,siannh,siánn,sánn,tshòng,pìnn,sannh
索仔,soh-á
呔,thài
斷,tn̄g
警察,kíng-tshat
哪,ná,nà
放,pàng
翁,ang
捌,bat,lâng
來過,lâi-kuè
韓國,hân-kok
某,bóo
知影,tsai-iánn
愛國獎券,ài-kok-tsióng-kuàn
外口,guā-kháu
查某,tsa-bóo,ta-bóo
姼仔,tshit-á
抑是,a̍h-sī,ia̍h-sī,iah-sī
厝內人,tshù-lāi-lâng
偷,thau
通,thong,thang,m̄-thang,sim
要緊,iàu-kín
乖乖仔,kuai-kuai-á
頭家,thâu-ke
的,ê,guá,hó--ê,--ê,pa̍t,khuànn,tsông--ê,i,thang
話,uē,tiān-uē,ê
著矣,tio̍h--ah
猶未,iáu-bē,iáu-buē,iah-bē,á-bē
揣著,tshuē--tio̍h,tshuē-tio̍h
逐家,ta̍k-ke
食了,tsia̍h-liáu
到,kàu,thuh
美國,bí-kok
開始,khai-sí
煩惱,huân-ló
愛,ài,lán
買,bé,kóng
啥物,siánn-mih,siánn-mi̍h
禮物,lé-bu̍t
送,sàng,lóng
予,hōo,lim,khui,tsuân,hîng
女朋友,lú-pîng-iú
柑仔,kam-á
紅,âng,khat
食著,tsia̍h-tio̍h
酸酸,sng-sng
一,tsi̍t,it,tiò,kún,tsı̍t,tsng,lâng,tsiong,guá
考,khó,khó-kǹg
見笑,kiàn-siàu
轉,tńg,teh,tsuán,tńg-se̍h
受氣矣,siū-khì--ah
橫直,huâinn-ti̍t,huînn-ti̍t
無步,bô-pōo
ā,ā
早,tsá
想欲,siūnn-beh
插伊矣,tshap--i--ah
千萬,tshian-bān,tshing-bān
毋通,m̄-thang,m̄̄-thang
一千萬,tsi̍t-tshing-bān
當做,tòng-tsò,tong-tsò
兄弟,hiann-tī
才,tsiah,bīn
講的,kóng--ê
筆,pit
生理,sing-lí
別人,pa̍t-lâng
妝,tsng
較,khah,kah,ē,bīn,siám,tsia̍h
媠咧,suí--leh
提,the̍h
比,pí,pí-lē
食過,tsia̍h-kuè
遮爾,tsiah-nī
好食的,hó-tsia̍h--ê
煞,suah
知,tsai,m̄,ti
嫌,hiâm
薪水,sin-suí
傷,siunn
少,tsió
歡喜,huann-hí
免,bián,hōo
家婆,ke-pô
毋免,m̄-bián
假使,ká-sú
做兵,tsò-ping
好咧,hó--leh
上班,siōng-pan
錢,tsînn,lâng
隨,suî
辭,sî
頭路,thâu-lōo
罔,bóng
陷眠,hām-bîn
數想,siàu-siūnn
ā啦,ā--lah
袂當,bē-tàng
偷食步,thau-tsia̍h-pōo
Seven,seven
鬥,tàu
啥轉來,siannh--tńg-lâi
Fb,fb
偌濟,juā-tsē,guā-tsuē,guā-tsē,juā-tsuē,luā-tsuē
朋友啊,pîng-iú--ah
明明,bîng-bîng
生日,senn-ji̍t
做,tsò,lue̋,tsò-huat,tsuè
密碼,bi̍t-bé
一直,it-ti̍t
無法度,bô-huat-tōo
登入,ting-ji̍p
這馬,tsit-má
連,liân,kang,kuânn,ㄌㄧㄢˊ
Facebook,facebook
董事長,táng-sū-tiúnn
中國,tiong-kok
看乎,khuànn--honnh
台灣,tâi-uân,tâi-uan,tâi-uân-lâng
可能,khó-lîng
網路頂,bāng-lōo-tíng
愈,jú,lú
勢力,sè-li̍k
眼時,gián-sî
干焦,kan-ta,kan-na,kan-tann
賰,tshun
Twitter,twitter
受著,siū-tio̍h
影響,íng-hióng
niâ,niâ
代誌,tāi-tsì
Line,line
看著,khuànn--tio̍h,khuànn-tio̍h
回你,huê--lí
厝,tshù
了後,liáu-āu
會記得,ē-kì-tit,ē-kì-tsit
敲,khà
予我,hōo--guá
好額人,hó-gia̍h-lâng
手機仔,tshiú-ki-á
iPhone,iphone
進前,tsìn-tsîng,tsìn-tsiân
定定,tiānn-tiānn
Apple,apple
產品,sán-phín
開錢,khai-tsînn
開,khai,khui,tú,khah
水咧,tsuí--leh
但是,tān-sī,nā-sī
抾拾,khioh-si̍p
所以,sóo-í
綴咧,tuè-leh
痟,siáu
iPhone矣,iphone--ah
IE,ie
a啦,a--lah
Chrome,chrome
Firefox,firefox
政府,tsìng-hú
網站乎,bāng-tsām--honnh
開開啦,khui--khui--lah
開啦,khui--lah
个,ê,sann,tsit,hit,gōo,tsi̍t
網站,bāng-tsām
專門,tsuan-bûn
賣,bē,khuànn
DIY,diy
材料,tsâi-liāu
Google,google
媠媠,suí-suí
應該,ing-kai
揣,tshuē,i
騙,phiàn
ThreeM,three-m
菜瓜布,tshài-kue-pòo
實在,si̍t-tsāi,sı̍t-tsāi
有夠,ū-kàu
好用的啦,hó-iōng--ê--lah
若準,nā-tsún
需要乎,su-iàu--honnh
會當,ē-tàng
對,uì,tuì,kā
幾塊仔,kuí-tè-á
轉去,tńg-khì,tńg--khì,tsah--tńg-khì
鑢,lù
看覓,khuànn-māi
公司,kong-si
拄,tú,tsiah
主要,tsú-iàu
工業,kang-gia̍p
用品,iōng-phín
後來,āu--lâi
沓沓仔,ta̍uh-ta̍uh-á
轉型,tsuán-hîng
轉做,tsuán-tsò
生產,sing-sán
生活,sing-ua̍h
親像,tshin-tshiūnn,tshan-tshiūnn
黏布,liâm-pòo
最近,tsuè-kīn
年,nî
in,in
枕頭,tsím-thâu
有閒,ū-îng
紹介一下,siāu-kài--tsi̍t-ē
Nike,nike
上,siōng,tsiūnn,siāng
四序,sù-sī
鞋仔,ê-á
佗,tó,toh
雙,siang,sī,īng
Adidas,adidas
學,o̍h
設計,siat-kè
一寡,tsi̍t-kuá,tsı̍t-kuá
色水,sik-tsuí
嬌,kiau
附近,hù-kīn
間,king,kan
Costco,costco
俗,sio̍k,siok
大碗,tuā-uánn
內底,lāi-té,lāi-tué
足,tsiok,ē
闊,khuah
踅的,se̍h--ê
報路啦,pò-lōo--lah
車,tshia,puânn-tshia
