彼號,hit4-lo7
彼號嘿,hit4-lo7--heh4
我,gua2
講,kong2
哭,khau3
你,li2
到底,tau3-te2
是,si7
拜幾,pai3-kui2
欲,beh4,bueh4
來,lai5
姦,kan3
咧,leh4,teh4,tih4
啥潲,siann2-siau5
無,bo5,bu5
哭爸,khau3-pe7
啥啦,siann2--lah4
聽,thiann1
哭枵,khau3-iau1
恁,lin2
雄雄,hiong5-hiong5
出聲,tshut4-siann1
創,tshong3
昨暝,tsa1-me5
阮,gun2,guan2
囝婿,kiann2-sai3
煮,tsu2
甲,kah4
歹食,phainn2-tsiah8
伊,i1,i7
按呢,an2-ne1,an2-ni1,an3-ne1
一下,tsit8-e7
有影,u7-iann2
氣,khi3,khui3
毋,m7
應,in3
好,ho2,haunn3
參加,tsham1-ka1
比賽,pi2-sai3
若,na7,na2
去,khi3
就,to7,tio7,toh8,tsiu7
莫,mai3
共,ka7
勉強,bian2-kiong2
攏,long2
認真,jin7-tsin1
讀冊,thak8-tsheh4
閣,koh4
佮,kah4,kap4
囉嗦,lo1-so1
暫時,tsiam7-si5
講話,kong2-ue7
行,kiann5,hang5
幾,kui2
步,poo7
路,loo7
喝,huah4
跤,kha1
痠,sng1
物件,mih8-kiann7
食,tsiah8,sit8
袂,be7,bue7
了,liau2
按怎,an2-tsuann2,an2-nua2,an3-tsuann2,an3-nua2
敢,kam2,kann2,kiam2
會使,e7-sai2,e7-siah4,e7-sai3,e7-saih4
提去,theh8-khi3
冰,ping1
看,khuann3
電視,tian7-si7
電視無,tian7-si7--bo5
阿共仔,a1-kiong7--a2
拍過來,phah4--kue3-lai5
請,tshiann2
兩,nng7
擺,pai2
反悔矣,huan2-hue2--ah4
這,tsit4,tse1
條,tiau5,liau5
面巾,bin7-kin1
用,iong7
三,sann1,sam1
工,kang1
有,u7
臭汗酸,tshau3-kuann7-sng1
舊年,ku7-ni5
規家伙仔,kui1-ke1-hue2-a2
佇,ti7
台北,tai5-pak4
咱,lan2
今年,kin1-ni5
想著,siunn7-tioh8,siunn7--tioh8
會,e7,hue7,ue7
發生,huat4-sing1
款,khuan2
悲劇,pi1-kiok8
因為,in1-ui7
著,tioh8,toh8,tu3
害,hai7
睏,khun3
學校,hak8-hau7
交,kau1
朋友,ping5-iu2
黃先生,ng5--sian1-sinn1
佇咧無,ti7--leh4--bo5
敢講,kam2-kong2
已經,i2-king1
愛我矣,ai3--gua2--ah4
嘛,ma7,ma3
無伊法,bo5-i1-huat4
拄才,tu2-tsiah4
地動,te7-tang7
偌,gua7,lua7
大咧,tua7--leh4
緊,kin2
覕,bih4
桌仔跤,toh4-a2-kha1
想,siunn7
啥,siannh4,siann2,sannh4
