hit4-ho7 1.0	hit4 ho7
hit4-lo7--heh4 1.0	hit4 lo7 heh4
khuann3--gua2 1.0	khuann3 gua2
kang2 1.0	kang2
khau3 1.0	khau3
a7 1.0	a7
tau3-te2 1.0	tau3 te2
tsuan5 1.0	tsuan5
pai3-kui2 1.0	pai3 kui2
bueh4 1.0	bueh4
khun3 1.0	khun3
kan3 1.0	kan3
lai5 1.0	lai5
siann2-siau5 1.0	siann2 siau5
bu5 1.0	bu5
khau3-pe7 1.0	khau3 pe7
siann2--lah4 1.0	siann2 lah4
ho2-thiann1 1.0	ho2 thiann1
khau3-iau1 1.0	khau3 iau1
lin2 1.0	lin2
hiong5-hiong5 1.0	hiong5 hiong5
tshut4-siann1 1.0	tshut4 siann1
tse7 1.0	tse7
tsa1-me5 1.0	tsa1 me5
u7 1.0	u7
kiann2-sai3 1.0	kiann2 sai3
tsu2 1.0	tsu2
pháinn1-tsiah8 1.0	pháinn1 tsiah8
am1 1.0	am1
an3-ne1 1.0	an3 ne1
tsit8-e7 1.0	tsit8 e7
ū-iann2 1.0	ū iann2
hi2-khi3 1.0	hi2 khi3
long2 1.0	long2
ing3-iong7 1.0	ing3 iong7
haunn3 1.0	haunn3
tsham1-ka1 1.0	tsham1 ka1
pi2-sai3 1.0	pi2 sai3
li2 1.0	li2
e7 1.0	e7
sim1 1.0	sim1
boh8 1.0	boh8
kin2 1.0	kin2
bian2-kiong2 1.0	bian2 kiong2
lang5 1.0	lang5
jin7-tsin1 1.0	jin7 tsin1
thak8-tsheh4 1.0	thak8 tsheh4
ho2-ho2-a2 1.0	ho2 ho2 a2
phah4-piann3 1.0	phah4 piann3
than3-tsinn5 1.0	than3 tsinn5
í-au7 1.0	í au7
nai3 1.0	nai3
tue3 1.0	tue3
hoo7--lang5 1.0	hoo7 lang5
thak8 1.0	thak8
tu3 1.0	tu3
kap4 1.0	kap4
lo1-so1 1.0	lo1 so1
tsiam7-si5 1.0	tsiam7 si5
kong2-ue7 1.0	kong2 ue7
hang5 1.0	hang5
tsit4 1.0	tsit4
poo7-soo3 1.0	poo7 soo3
tan2-loo7 1.0	tan2 loo7
huah4 1.0	huah4
e7-kha1 1.0	e7 kha1
sng1 1.0	sng1
mngh8-kiann7 1.0	mngh8 kiann7
si7 1.0	si7
phue5 1.0	phue5
liau2 1.0	liau2
án-tsuann2 1.0	án tsuann2
kiam2 1.0	kiam2
e7-saih4 1.0	e7 saih4
theh8-khi3 1.0	theh8 khi3
ping1 1.0	ping1
ㄎㄢˋ 1.0	ㄎㄢˋ
tian7-si7 1.0	tian7 si7
tian7-si7--bo5 1.0	tian7 si7 bo5
a-kiong7--a2 1.0	a kiong7 a2
phah4--kue3-lai5 1.0	phah4 kue3 lai5
a-lak8--a2 1.0	a lak8 a2
kuai3 1.0	kuai3
tshiann2 1.0	tshiann2
nng7 1.0	nng7
pai2 1.0	pai2
huan2-hue2--ah4 1.0	huan2 hue2 ah4
tui3 1.0	tui3
liau5 1.0	liau5
bin7-kin1 1.0	bin7 kin1
ing7 1.0	ing7
sam1 1.0	sam1
kui2 1.0	kui2
na2 1.0	na2
tshau3-kuann7-sng1 1.0	tshau3 kuann7 sng1
ku7-ni5 1.0	ku7 ni5
kui1-ke1-hue2-a2 1.0	kui1 ke1 hue2 a2
hap8 1.0	hap8
tai5-pak4 1.0	tai5 pak4
kin1-ni5 1.0	kin1 ni5
siunn7--tioh8 1.0	siunn7 tioh8
huat4-sing1 1.0	huat4 sing1
khuan2 1.0	khuan2
pi1-kiok8 1.0	pi1 kiok8
in-ui7 1.0	in ui7
hai7 1.0	hai7
tsa̋ng1 1.0	tsa̋ng1
oo1-peh8 1.0	oo1 peh8
luan7 1.0	luan7
peh4 1.0	peh4
tsia1 1.0	tsia1
kuan5 1.0	kuan5
hak8-hau7 1.0	hak8 hau7
kau1 1.0	kau1
ping5-iu2 1.0	ping5 iu2
n̂g--sian1-sinn1 1.0	n̂g sian1 sinn1
ti7--leh4--bo5 1.0	ti7 leh4 bo5
kam2-kong2 1.0	kam2 kong2
í-king1 1.0	í king1
ai3--gua2--ah4 1.0	ai3 gua2 ah4
ma3 1.0	ma3
bo5-i1-huat4 1.0	bo5 i1 huat4
tu2-tsiah4 1.0	tu2 tsiah4
te7-tang7 1.0	te7 tang7
lua7 1.0	lua7
tua7--leh4 1.0	tua7 leh4
bih4 1.0	bih4
toh4-a2-kha1 1.0	toh4 a2 kha1
siunn7 1.0	siunn7
sannh4 1.0	sannh4
soh4-a2 1.0	soh4 a2
thai3 1.0	thai3
tng7 1.0	tng7
king2-tshat4 1.0	king2 tshat4
na3 1.0	na3
pang3 1.0	pang3
ang1 1.0	ang1
lai5-kue3 1.0	lai5 kue3
han5-kok4 1.0	han5 kok4
boo2 1.0	boo2
tsai1-iann2 1.0	tsai1 iann2
ai3-kok4-tsiong2-kuan3 1.0	ai3 kok4 tsiong2 kuan3
gua7-khau2 1.0	gua7 khau2
ta1-boo2 1.0	ta1 boo2
tshit4-a2 1.0	tshit4 a2
iah4-si7 1.0	iah4 si7
tshu3-lai7-lang5 1.0	tshu3 lai7 lang5
thau1 1.0	thau1
iau3-kin2 1.0	iau3 kin2
kuai1-kuai1-a2 1.0	kuai1 kuai1 a2
thau5-ke1 1.0	thau5 ke1
thang1 1.0	thang1
e5 1.0	e5
tioh8--ah4 1.0	tioh8 ah4
a2-be7 1.0	a2 be7
tshue7-tioh8 1.0	tshue7 tioh8
tak8-ke1 1.0	tak8 ke1
tsiah8-liau2 1.0	tsiah8 liau2
thuh4 1.0	thuh4
bi2-kok4 1.0	bi2 kok4
khai1-si2 1.0	khai1 si2
huan5-lo2 1.0	huan5 lo2
lan2 1.0	lan2
kong2 1.0	kong2
siann2-mih8 1.0	siann2 mih8
le2-but8 1.0	le2 but8
hing5 1.0	hing5
lu2-ping5-iu2 1.0	lu2 ping5 iu2
kam1-a2 1.0	kam1 a2
khat4 1.0	khat4
tsiah8-tioh8 1.0	tsiah8 tioh8
sng1-sng1 1.0	sng1 sng1
gua2 1.0	gua2
kho2-kng3 1.0	kho2 kng3
kian3-siau3 1.0	kian3 siau3
tng2-seh8 1.0	tng2 seh8
siu7-khi3--ah4 1.0	siu7 khi3 ah4
huinn5-tit8 1.0	huinn5 tit8
bo5-poo7 1.0	bo5 poo7
tsa2 1.0	tsa2
siunn7-beh4 1.0	siunn7 beh4
tshap4--i1--ah4 1.0	tshap4 i1 ah4
tshing1-ban7 1.0	tshing1 ban7
m̄7-thang1 1.0	m̄7 thang1
tsit8-tshing1-ban7 1.0	tsit8 tshing1 ban7
tong1-tso3 1.0	tong1 tso3
hiann1-ti7 1.0	hiann1 ti7
bin7 1.0	bin7
kong2--e5 1.0	kong2 e5
pit4 1.0	pit4
sing1-li2 1.0	sing1 li2
pat8-lang5 1.0	pat8 lang5
tsng1 1.0	tsng1
tsiah8 1.0	tsiah8
sui2--leh4 1.0	sui2 leh4
theh8 1.0	theh8
pi2-le7 1.0	pi2 le7
tsiah8-kue3 1.0	tsiah8 kue3
tsiah4-ni7 1.0	tsiah4 ni7
ho2-tsiah8--e5 1.0	ho2 tsiah8 e5
suah4 1.0	suah4
ti1 1.0	ti1
hiam5 1.0	hiam5
sin1-sui2 1.0	sin1 sui2
siunn1 1.0	siunn1
tsio2 1.0	tsio2
huann1-hi2 1.0	huann1 hi2
hoo7 1.0	hoo7
ke1-po5 1.0	ke1 po5
m̄-bian2 1.0	m̄ bian2
ka2-su2 1.0	ka2 su2
tso3-ping1 1.0	tso3 ping1
ho2--leh4 1.0	ho2 leh4
siong7-pan1 1.0	siong7 pan1
sui5 1.0	sui5
si5 1.0	si5
thau5-loo7 1.0	thau5 loo7
bong2 1.0	bong2
ham7-bin5 1.0	ham7 bin5
siau3-siunn7 1.0	siau3 siunn7
a7--lah4 1.0	a7 lah4
be7-tang3 1.0	be7 tang3
thau1-tsiah8-poo7 1.0	thau1 tsiah8 poo7
seven1 1.0	seven1
tau3 1.0	tau3
siannh4--tng2-lai5 1.0	siannh4 tng2 lai5
fb 1.0	fb
lua7-tsue7 1.0	lua7 tsue7
ping5-iu2--ah4 1.0	ping5 iu2 ah4
bing5-bing5 1.0	bing5 bing5
senn1-jit8 1.0	senn1 jit8
tsue3 1.0	tsue3
bit8-be2 1.0	bit8 be2
it4-tit8 1.0	it4 tit8
bo5-huat4-too7 1.0	bo5 huat4 too7
ting1-jip8 1.0	ting1 jip8
tsit4-ma2 1.0	tsit4 ma2
ㄌㄧㄢˊ 1.0	ㄌㄧㄢˊ
facebook4 1.0	facebook4
tang2-su7-tiunn2 1.0	tang2 su7 tiunn2
tiong1-kok4 1.0	tiong1 kok4
khuann3--honnh4 1.0	khuann3 honnh4
tai5-uan5-lang5 1.0	tai5 uan5 lang5
kho2-ling5 1.0	kho2 ling5
bang7-loo7-ting2 1.0	bang7 loo7 ting2
lu2 1.0	lu2
se3-lik8 1.0	se3 lik8
gian2-si5 1.0	gian2 si5
kan1-tann1 1.0	kan1 tann1
tshun1 1.0	tshun1
twitter4 1.0	twitter4
siu7-tioh8 1.0	siu7 tioh8
ing2-hiong2 1.0	ing2 hiong2
nia5 1.0	nia5
tai7-tsi3 1.0	tai7 tsi3
line1 1.0	line1
khuann3-tioh8 1.0	khuann3 tioh8
hue5--li2 1.0	hue5 li2
tshu3 1.0	tshu3
liau2-au7 1.0	liau2 au7
e7-ki3-tsit4 1.0	e7 ki3 tsit4
kha3 1.0	kha3
hoo7--gua2 1.0	hoo7 gua2
ho2-giah8-lang5 1.0	ho2 giah8 lang5
tshiu2-ki1-a2 1.0	tshiu2 ki1 a2
iphone1 1.0	iphone1
tsin3-tsian5 1.0	tsin3 tsian5
tiann7-tiann7 1.0	tiann7 tiann7
apple1 1.0	apple1
san2-phin2 1.0	san2 phin2
khai1-tsinn5 1.0	khai1 tsinn5
khah4 1.0	khah4
tsui2--leh4 1.0	tsui2 leh4
na7-si7 1.0	na7 si7
khioh4-sip8 1.0	khioh4 sip8
soo2-i2 1.0	soo2 i2
tue3-leh4 1.0	tue3 leh4
siau2 1.0	siau2
iphone1--ah4 1.0	iphone1 ah4
ie 1.0	ie
a1--lah4 1.0	a1 lah4
chrome1 1.0	chrome1
firefox1 1.0	firefox1
tsing3-hu2 1.0	tsing3 hu2
bang7-tsam7--honnh4 1.0	bang7 tsam7 honnh4
khui1--khui1--lah4 1.0	khui1 khui1 lah4
khui1--lah4 1.0	khui1 lah4
tsit8 1.0	tsit8
bang7-tsam7 1.0	bang7 tsam7
tsuan1-bun5 1.0	tsuan1 bun5
khuann3 1.0	khuann3
diy 1.0	diy
tsai5-liau7 1.0	tsai5 liau7
google1 1.0	google1
sui2-sui2 1.0	sui2 sui2
ing1-kai1 1.0	ing1 kai1
i1 1.0	i1
phian3 1.0	phian3
three1-m 1.0	three1 m
tshai3-kue1-poo3 1.0	tshai3 kue1 poo3
sı̍t-tsai7 1.0	sı̍t tsai7
u7-kau3 1.0	u7 kau3
ho2-iong7--e5--lah4 1.0	ho2 iong7 e5 lah4
na7-tsun2 1.0	na7 tsun2
