# gunzip -c exp/mono/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun Sep 25 13:09:18 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 42.9473684211% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 86.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.2,26) frames.
At utterance begin, nonsilence accounts for 13.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,18) frames.
At utterance begin, l accounts for 4.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,13) frames.
At utterance begin, g accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,18) frames.
At utterance begin, k accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,9) frames.
At utterance begin, m accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,15) frames.
At utterance begin, p accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.6,8) frames.
At utterance begin, h accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,17) frames.
At utterance end, nonsilence accounts for 57.1% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.1,45) frames.
At utterance end, SIL accounts for 42.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,21.7,73) frames.
At utterance end, ah4 accounts for 10.2% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.4,37) frames.
At utterance end, eh4 accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.2,38) frames.
At utterance end, i3 accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.4,33) frames.
At utterance end, e5 accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (32,33.2,46) frames.
At utterance end, e7 accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.1,44) frames.
At utterance end, ooh4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (34,34.7,43) frames.
At utterance end, i7 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (36,35.0,40) frames.
At utterance end, onnh4 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.8,41) frames.
At utterance end, ang5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (40,36.3,48) frames.
At utterance end, ing5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (41,39.3,47) frames.
At utterance end, a2 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.1,42) frames.
At utterance end, ai7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.5,42) frames.
At utterance end, oo7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.8,40) frames.
At utterance end, ue3 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.8,35) frames.
At utterance end, i2 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,24.5,29) frames.
At utterance end, im1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.5,37) frames.
At utterance end, i5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (40,41.1,44) frames.
At utterance end, iann1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (37,38.1,46) frames.
At utterance end, un3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.2,33) frames.
At utterance end, i1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.1,40) frames.
At utterance end, ngh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.0,33) frames.
Overall, nonsilence accounts for 82.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.4,31) frames.
Overall, SIL accounts for 17.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,23.3,60) frames.
Overall, k accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, l accounts for 4.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, s accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (16,16.1,22) frames.
Overall, ts accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.3,17) frames.
Overall, t accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,15) frames.
Overall, h accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,18) frames.
Overall, e5 accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.2,32) frames.
Overall, kh accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.9,20) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,17) frames.
Overall, i2 accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.2,28) frames.
Overall, b accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,13) frames.
Overall, tsh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,14.9,20) frames.
Overall, g accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,14) frames.
Overall, i7 accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.0,34) frames.
Overall, ah4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.3,36) frames.
Overall, th accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.6,19) frames.
Overall, a2 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (20,20.5,33) frames.
