# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:05:04 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 76.5386638611% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 38.1530343008% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 76.5% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.1,27) frames.
At utterance begin, nonsilence accounts for 23.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,18) frames.
At utterance begin, l accounts for 9.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.6,14) frames.
At utterance begin, g accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,17) frames.
At utterance begin, j accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,16.1,22) frames.
At utterance begin, b accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,15) frames.
At utterance begin, k accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,10) frames.
At utterance begin, m accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,15) frames.
At utterance begin, h accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,17) frames.
At utterance begin, m7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.1,22) frames.
At utterance begin, p accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.3,7) frames.
At utterance end, nonsilence accounts for 61.8% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.2,45) frames.
At utterance end, SIL accounts for 38.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,24.3,74) frames.
At utterance end, ah4 accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (30,29.5,37) frames.
At utterance end, eh4 accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.9,39) frames.
At utterance end, i3 accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.5,34) frames.
At utterance end, e5 accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.1,47) frames.
At utterance end, e7 accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (36,35.9,44) frames.
At utterance end, ai5 accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.4,41) frames.
At utterance end, ooh4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.6,43) frames.
At utterance end, a2 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.5,41) frames.
At utterance end, ang5 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (39,36.2,47) frames.
