# build-tree --verbose=1 --max-leaves=2500 --cluster-thresh=-1 exp/tri3a/treeacc data/lang/phones/roots.int exp/tri3a/questions.qst data/lang/topo exp/tri3a/tree 
# Started at Sun Sep 25 13:11:43 CST 2022
#
build-tree --verbose=1 --max-leaves=2500 --cluster-thresh=-1 exp/tri3a/treeacc data/lang/phones/roots.int exp/tri3a/questions.qst data/lang/topo exp/tri3a/tree 
LOG (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:104) Number of separate statistics is 48200
LOG (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:161) BuildTree: before building trees, map has 281 leaves.
LOG (build-tree[5.5.1047~1-09a63]:SplitDecisionTree():build-tree-utils.cc:577) DoDecisionTreeSplit: split 2219 times, #leaves now 2500
LOG (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:187) Setting clustering threshold to smallest split 615.082
VLOG[1] (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:196) After decision tree split, num-leaves = 2500, like-impr = 7.48147 per frame over 788174 frames.
VLOG[1] (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:200) Including just phones that were split, improvement is 7.48147 per frame over 788174 frames.
LOG (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:215) BuildTree: removed 457 leaves.
VLOG[1] (build-tree[5.5.1047~1-09a63]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:914) Number of non-empty clusters in map = 275
VLOG[1] (build-tree[5.5.1047~1-09a63]:ClusterEventMapToNClustersRestrictedByMap():build-tree-utils.cc:915) Number of non-empty clusters = 2037
LOG (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:231) BuildTree: Rounded num leaves to multiple of 8 by removing 3 leaves.
VLOG[1] (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:256) Objf change due to clustering -0.229107 per frame.
VLOG[1] (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:259) Normalizing over only split phones, this is: -0.229107 per frame.
VLOG[1] (build-tree[5.5.1047~1-09a63]:BuildTree():build-tree.cc:262) Num-leaves is now 2040
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 8, low count 84
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 14, low count 0
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 16, low count 70
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 17, low count 30
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 18, low count 10
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 27, low count 94
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 38, low count 34
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 39, low count 14
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 50, low count 11
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 52, low count 7
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 56, low count 75
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 57, low count 31
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 62, low count 88
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 63, low count 6
VLOG[1] (build-tree[5.5.1047~1-09a63]:main():build-tree.cc:143) For pdf-id 64, low count 83
