# gunzip -c exp/tri4a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:09:26 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 59.0310689837% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 26.3269639066% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 59.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,9.8,36) frames.
At utterance begin, nonsilence accounts for 41.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,20) frames.
At utterance begin, l accounts for 11.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.6,15) frames.
At utterance begin, g accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,17) frames.
At utterance begin, k accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,13) frames.
At utterance begin, h accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.6,21) frames.
At utterance begin, a1 accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.4,17) frames.
At utterance begin, b accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,15) frames.
At utterance begin, j accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.8,22) frames.
At utterance begin, s accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.4,27) frames.
At utterance begin, m accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.1,14) frames.
At utterance begin, n accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.9,15) frames.
At utterance begin, p accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,9) frames.
At utterance begin, t accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,10) frames.
At utterance begin, m7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.9,23) frames.
At utterance begin, u7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,19.0,23) frames.
At utterance end, nonsilence accounts for 73.7% of phone occurrences, with duration (median, mean, 95-percentile) is (31,31.8,44) frames.
At utterance end, SIL accounts for 26.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,35.9,83) frames.
At utterance end, ah4 accounts for 10.1% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.3,38) frames.
At utterance end, eh4 accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.6,42) frames.
At utterance end, i3 accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.8,33) frames.
At utterance end, i2 accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.9,34) frames.
At utterance end, e5 accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (32,33.0,49) frames.
At utterance end, e7 accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (36,35.5,44) frames.
At utterance end, ai5 accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.7,40) frames.
At utterance end, a2 accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,32.7,43) frames.
At utterance end, ooh4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (38,36.9,44) frames.
At utterance end, onnh4 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.0,40) frames.
At utterance end, ang5 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (38,35.5,45) frames.
