# gunzip -c exp/tri5a_sp_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Wed Sep 28 18:28:26 CST 2022
#
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 57.733591413% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence SIL is seen only 27.1033013845% of the time at utterance end.  This may not be optimal.
At utterance begin, SIL accounts for 57.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.5,39) frames.
At utterance begin, nonsilence accounts for 42.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,21) frames.
At utterance begin, l accounts for 11.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,16) frames.
At utterance begin, g accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.2,17) frames.
At utterance begin, k accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.5,14) frames.
At utterance begin, h accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,15.9,22) frames.
At utterance begin, b accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.7,16) frames.
At utterance begin, a1 accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.1,18) frames.
At utterance begin, s accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,21.9,28) frames.
At utterance begin, j accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.2,24) frames.
At utterance begin, p accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,10) frames.
At utterance begin, m accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.3,16) frames.
At utterance begin, t accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,10) frames.
At utterance begin, n accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.0,17) frames.
At utterance begin, m7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.2,25) frames.
At utterance begin, u7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,19.0,42) frames.
At utterance begin, th accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (13,12.8,15) frames.
At utterance end, nonsilence accounts for 72.9% of phone occurrences, with duration (median, mean, 95-percentile) is (31,31.9,46) frames.
At utterance end, SIL accounts for 27.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,36.5,85) frames.
At utterance end, ah4 accounts for 10.2% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.6,40) frames.
At utterance end, eh4 accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.8,42) frames.
At utterance end, i3 accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.9,36) frames.
At utterance end, i2 accounts for 2.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,28.0,36) frames.
At utterance end, e5 accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.6,50) frames.
At utterance end, e7 accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.8,45) frames.
At utterance end, ai5 accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (27,27.7,40) frames.
At utterance end, a2 accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (34,32.8,46) frames.
At utterance end, ooh4 accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (37,36.6,49) frames.
At utterance end, onnh4 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (36,36.0,43) frames.
At utterance end, i7 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.3,40) frames.
At utterance end, o5 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (29,30.0,40) frames.
At utterance end, ang5 accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (37,35.6,50) frames.
At utterance end, ing5 accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (40,37.8,51) frames.
At utterance end, ai7 accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.3,43) frames.
At utterance end, oo7 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (34,34.6,40) frames.
At utterance end, ue3 accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.6,33) frames.
At utterance end, ui3 accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (28,27.5,34) frames.
At utterance end, m7 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.5,37) frames.
At utterance end, i1 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (33,33.3,42) frames.
At utterance end, ua2 accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.1,42) frames.
At utterance end, im1 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (32,32.9,40) frames.
At utterance end, ai3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (31,30.4,38) frames.
At utterance end, ue7 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (38,38.8,49) frames.
At utterance end, un3 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (28,26.6,35) frames.
At utterance end, i5 accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (40,40.3,48) frames.
At utterance end, au2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,30.0,41) frames.
At utterance end, ia7 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (41,41.5,50) frames.
At utterance end, ngh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,26.4,40) frames.
At utterance end, o2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.0,34) frames.
At utterance end, ia1 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (39,40.5,48) frames.
At utterance end, oh4 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,25.4,31) frames.
At utterance end, ong2 accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (31,35.0,65) frames.
Overall, nonsilence accounts for 84.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.4,34) frames.
Overall, SIL accounts for 15.4% of phone occurrences, with duration (median, mean, 95-percentile) is (17,22.7,60) frames.
Overall, k accounts for 5.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,17) frames.
Overall, l accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.0,14) frames.
Overall, s accounts for 4.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,17.1,24) frames.
Overall, ts accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.1,18) frames.
Overall, t accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,16) frames.
Overall, h accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (14,13.8,20) frames.
Overall, e5 accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.3,36) frames.
Overall, kh accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.2,20) frames.
Overall, p accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.4,18) frames.
Overall, i2 accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,33) frames.
Overall, b accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,15) frames.
Overall, tsh accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.5,22) frames.
